,city,dispatch_date,slot,num_rider_id,orders,awb_pay,cpo
760,Bangalore,2024-04-05,evening,4455,16,592,37.0
761,Bangalore,2024-04-05,evening,4494,24,930,38.75
762,Bangalore,2024-04-05,evening,4513,1,38,38.0
763,Bangalore,2024-04-05,evening,4517,12,792,66.0
764,Bangalore,2024-04-05,evening,4537,13,574,44.15384615384615
765,Bangalore,2024-04-05,evening,4540,9,342,38.0
766,Bangalore,2024-04-05,evening,4576,21,797,37.95238095238095
767,Bangalore,2024-04-05,evening,4577,11,748,68.0
768,Bangalore,2024-04-05,evening,4584,40,1535,38.375
769,Bangalore,2024-04-05,evening,4625,24,795,33.125
770,Bangalore,2024-04-05,evening,4681,6,268,44.666666666666664
771,Bangalore,2024-04-05,evening,4683,9,729,81.0
772,Bangalore,2024-04-05,evening,4716,15,825,55.0
773,Bangalore,2024-04-05,evening,4728,17,726,42.705882352941174
774,Bangalore,2024-04-05,evening,4751,11,458,41.63636363636363
775,Bangalore,2024-04-05,evening,4798,10,350,35.0
776,Bangalore,2024-04-05,evening,4804,9,342,38.0
777,Bangalore,2024-04-05,evening,4821,21,798,38.0
778,Bangalore,2024-04-05,evening,4874,28,1070,38.214285714285715
779,Bangalore,2024-04-05,evening,4948,18,810,45.0
780,Bangalore,2024-04-05,evening,4971,8,728,91.0
781,Bangalore,2024-04-05,evening,4984,18,684,38.0
782,Bangalore,2024-04-05,evening,5017,10,780,78.0
783,Bangalore,2024-04-05,evening,5045,3,171,57.0
784,Bangalore,2024-04-05,evening,5055,1,78,78.0
785,Bangalore,2024-04-05,evening,5061,4,152,38.0
786,Bangalore,2024-04-05,evening,5087,14,756,54.0
787,Bangalore,2024-04-05,evening,5100,8,796,99.5
788,Bangalore,2024-04-05,evening,5107,11,792,72.0
789,Bangalore,2024-04-05,evening,5108,15,836,55.733333333333334
790,Bangalore,2024-04-05,evening,5163,3,102,34.0
791,Bangalore,2024-04-05,evening,5167,26,759,29.192307692307693
792,Bangalore,2024-04-05,evening,5189,7,776,110.85714285714286
793,Bangalore,2024-04-05,evening,5205,3,114,38.0
794,Bangalore,2024-04-05,evening,5206,9,422,46.888888888888886
795,Bangalore,2024-04-05,evening,5240,14,448,32.0
796,Bangalore,2024-04-05,evening,5292,9,382,42.44444444444444
797,Bangalore,2024-04-05,evening,5306,8,752,94.0
798,Bangalore,2024-04-05,evening,5328,21,780,37.142857142857146
799,Bangalore,2024-04-05,evening,5329,11,759,69.0
800,Bangalore,2024-04-05,evening,5357,9,747,83.0
801,Bangalore,2024-04-05,evening,5359,18,720,40.0
802,Bangalore,2024-04-05,evening,5360,24,1020,42.5
803,Bangalore,2024-04-05,evening,5402,6,268,44.666666666666664
804,Bangalore,2024-04-05,evening,5415,17,748,44.0
805,Bangalore,2024-04-05,evening,5420,13,741,57.0
806,Bangalore,2024-04-05,morning,840,58,1642,28.310344827586206
807,Bangalore,2024-04-05,morning,845,27,783,29.0
808,Bangalore,2024-04-05,morning,850,30,968,32.266666666666666
809,Bangalore,2024-04-05,morning,1000,47,1825,38.829787234042556
810,Bangalore,2024-04-05,morning,1014,48,1359,28.3125
811,Bangalore,2024-04-05,morning,1023,49,1362,27.79591836734694
812,Bangalore,2024-04-05,morning,1024,47,1353,28.78723404255319
813,Bangalore,2024-04-05,morning,1072,55,1650,30.0
814,Bangalore,2024-04-05,morning,1442,70,2079,29.7
815,Bangalore,2024-04-05,morning,1586,51,1636,32.07843137254902
816,Bangalore,2024-04-05,morning,1642,36,1080,30.0
817,Bangalore,2024-04-05,morning,1650,51,1428,28.0
818,Bangalore,2024-04-05,morning,1798,31,1005,32.41935483870968
819,Bangalore,2024-04-05,morning,1813,26,955,36.73076923076923
820,Bangalore,2024-04-05,morning,1814,38,1420,37.36842105263158
821,Bangalore,2024-04-05,morning,1832,56,1874,33.464285714285715
